,Accuracy,Macro F1,Weighted F1,Macro Precision,Macro Recall,Cohen's Kappa,Label Accuracy,Label Macro F1,Coverage,Mean Confidence,Median Confidence,ACC (Hungarian),NMI,ARI,FMI,Homogeneity,Completeness,V-Measure,Silhouette Score,Davies-Bouldin,mean_true_label_score
full_supervised,0.8523684210526316,0.8523537293677133,0.8523537293677134,0.8588193438973253,0.8523684210526317,0.8031578947368421,,,,,,,,,,,,,,,
full_supervised_electra,0.4123684210526316,0.3479498008840138,0.3479498008840137,0.48190904931848827,0.4123684210526316,0.2164912280701754,,,,,,,,,,,,,,,
label_propagation,,,,,,,0.871875,0.8715042293813033,1.0,0.9060713303062158,0.9920743174798577,,,,,,,,,,
minilm_agglomerative,,0.44060942997347496,,,,,,,1.0,,,0.4505753138075314,0.40407699368353883,0.2636660053622345,0.31342850081663703,0.39835879087695797,0.40996175004739654,0.40407699368353883,0.030652550980448723,5.127483146164421,
minilm_dec,,0.25138203661232683,,,,,,,1.0,,,0.26333682008368203,0.23460300303941287,0.12066071178413548,0.18127270810347074,0.23030425016897654,0.23906528535016786,0.2346030030394129,-0.006730569060891867,9.980394645403225,
minilm_kmeans,,0.4442953244466392,,,,,,,1.0,,,0.44822175732217573,0.4178112203036545,0.28400464393586916,0.33201124043729147,0.4129719811947459,0.42276521734662886,0.4178112203036545,0.03739117458462715,4.962768358219076,
pseudo_labeling,0.8869736842105264,0.8869369718129141,0.8869369718129141,0.8874511224468464,0.8869736842105264,0.8492982456140351,,,1.0,,,,,,,,,,,,
pseudo_labeling_electra,0.8386842105263158,0.8372857870705548,0.8372857870705548,0.8381351002745823,0.8386842105263158,0.7849122807017543,,,1.0,,,,,,,,,,,,
roberta_agglomerative,,0.23347867088713548,,,,,,,1.0,,,0.24320083682008367,0.24942107084525394,0.11465081471675927,0.17840400662820796,0.24182461984427997,0.257510255645883,0.24942107084525394,0.05326318368315697,2.745018950671363,
roberta_dec,,0.12837897301580511,,,,,,,1.0,,,0.1469665271966527,0.11500730683974139,0.04818307002809951,0.12057031154462843,0.11067008934821267,0.11969834634774262,0.11500730683974139,0.05279407650232315,5.398607065239816,
roberta_kmeans,,0.23505818476026574,,,,,,,1.0,,,0.24398535564853557,0.24694076926578723,0.11432537657936963,0.17601822043871482,0.2408869858458668,0.25330667459450684,0.24694076926578726,0.07062127441167831,2.7396090604833865,
summarization,0.675,0.6408156237701692,0.6408156237701692,0.7029518246603366,0.675,0.5666666666666667,,,,,,,,,,,,,,,0.48048933278769257
weak_supervision,,,,,,,0.46440462977643887,0.4443517489675299,0.788375,0.40828156497733886,0.3868349296214561,,,,,,,,,,
